,b_id,expl,L,c,seed
217,1261,lime,578.724392650502,52,8548
218,1261,kernel_shap,65.22745473900392,1352,8548
219,1261,lime,116.81244063519875,1352,8548
220,1753,kernel_shap,693.8330947992276,52,10837
221,1753,lime,641.7096811759278,52,10837
222,1753,kernel_shap,69.87700731622992,1352,10837
223,1753,lime,119.64389614600664,1352,10837
224,1730,kernel_shap,361.4019100116215,52,5219
225,1730,lime,683.0308574528262,52,5219
226,1730,kernel_shap,94.91018994523225,1352,5219
227,1730,lime,135.61321117171104,1352,5219
228,1877,kernel_shap,146.98219149025658,52,3222
229,1877,lime,845.912226380704,52,3222
230,1877,kernel_shap,52.70287618937471,1352,3222
231,1877,lime,167.90478203700053,1352,3222
232,2922,kernel_shap,477.84360528298185,52,7542
233,2922,lime,669.3681574691436,52,7542
234,2922,kernel_shap,100.7687586903436,1352,7542
235,2922,lime,206.13396319133471,1352,7542
236,1186,kernel_shap,736.1748410448914,52,8172
237,1186,lime,695.931981076704,52,8172
238,1186,kernel_shap,73.05535744612057,1352,8172
239,1186,lime,145.31790068550512,1352,8172
240,40,kernel_shap,345.87991574600534,52,9035
241,40,lime,1068.1150472127747,52,9035
242,40,kernel_shap,88.37410889634891,1352,9035
243,40,lime,155.81445304322466,1352,9035
244,3676,kernel_shap,200.56883160726545,52,6010
245,3676,lime,971.9955952639774,52,6010
246,3676,kernel_shap,48.45899504178973,1352,6010
247,3676,lime,125.41436944065455,1352,6010
248,1058,kernel_shap,252.90467623909635,52,9972
249,1058,lime,665.7966504279595,52,9972
250,1058,kernel_shap,56.007609859471806,1352,9972
251,1058,lime,143.9265842329065,1352,9972
252,4774,kernel_shap,232.74445237464465,52,2463
253,4774,lime,678.3073060604188,52,2463
254,4774,kernel_shap,44.00353390099144,1352,2463
255,4774,lime,123.92924937023264,1352,2463
256,4515,kernel_shap,300.7061187373874,52,8928
257,4515,lime,769.4754350737563,52,8928
258,4515,kernel_shap,47.08491185947079,1352,8928
259,4515,lime,113.06190834979144,1352,8928
260,2191,kernel_shap,657.4823175671092,52,4282
261,2191,lime,276.5335328504851,52,4282
262,2191,kernel_shap,107.3057626785784,1352,4282
263,2191,lime,107.77179968806844,1352,4282
264,2115,kernel_shap,304.89287722668365,52,8612
265,2115,lime,797.5687405056736,52,8612
266,2115,kernel_shap,54.76143290279433,1352,8612
267,2115,lime,148.62476471048052,1352,8612
268,797,kernel_shap,743.9839291235189,52,7658
269,797,lime,607.9530539242118,52,7658
270,797,kernel_shap,89.1768706688014,1352,7658
271,797,lime,126.46884962373834,1352,7658
272,183,kernel_shap,319.4039890219409,52,6531
273,183,lime,661.7958372158064,52,6531
274,183,kernel_shap,78.10721958270514,1352,6531
275,183,lime,111.53698945208453,1352,6531
