,b_id,expl,L,p,cent,s,seed
216,4774,hyperx,21.018961332642522,1,eigenvector,"(0, 1)",2463
217,4774,hyperx,1.5208780463117708,1,eigenvector,"(25, 26)",2463
218,4774,hyperx,36.46874442390829,1,eigenvector,"(0, 2)",2463
219,4774,hyperx,30.588593742262006,1,eigenvector,"(24, 26)",2463
220,4774,hyperx,21.018961332642522,2,eigenvector,"(0, 1)",2463
221,4774,hyperx,2.4650641704567398,2,eigenvector,"(25, 26)",2463
222,4774,hyperx,36.46874442390829,2,eigenvector,"(0, 2)",2463
223,4774,hyperx,51.695135702979044,2,eigenvector,"(24, 26)",2463
224,4515,hyperx,42.72511358406002,10,degree,"(0, 1)",8928
225,4515,hyperx,2.0526647700512894,10,degree,"(25, 26)",8928
226,4515,hyperx,97.56924588864432,10,degree,"(0, 2)",8928
227,4515,hyperx,64.63303746577083,10,degree,"(24, 26)",8928
228,4515,hyperx,43.53439926466378,10,eigenvector,"(0, 1)",8928
229,4515,hyperx,3.780945265409305,10,eigenvector,"(25, 26)",8928
230,4515,hyperx,71.9294607489815,10,eigenvector,"(0, 2)",8928
231,4515,hyperx,103.10238486054739,10,eigenvector,"(24, 26)",8928
232,4515,hyperx,43.53439926466378,1,eigenvector,"(0, 1)",8928
233,4515,hyperx,1.9907088937284487,1,eigenvector,"(25, 26)",8928
234,4515,hyperx,75.09908623920461,1,eigenvector,"(0, 2)",8928
235,4515,hyperx,54.860823604610765,1,eigenvector,"(24, 26)",8928
236,4515,hyperx,43.53439926466378,2,eigenvector,"(0, 1)",8928
237,4515,hyperx,2.5542866646976194,2,eigenvector,"(25, 26)",8928
238,4515,hyperx,75.09908623920461,2,eigenvector,"(0, 2)",8928
239,4515,hyperx,65.91707871167975,2,eigenvector,"(24, 26)",8928
240,2191,hyperx,45.64694508588249,10,degree,"(0, 1)",4282
241,2191,hyperx,8.902349033948122,10,degree,"(25, 26)",4282
242,2191,hyperx,76.23568730132696,10,degree,"(0, 2)",4282
243,2191,hyperx,184.91282421063062,10,degree,"(24, 26)",4282
244,2191,hyperx,45.105958673088985,10,eigenvector,"(0, 1)",4282
245,2191,hyperx,32.36785917631569,10,eigenvector,"(25, 26)",4282
246,2191,hyperx,69.74669455944804,10,eigenvector,"(0, 2)",4282
247,2191,hyperx,691.8084204686946,10,eigenvector,"(24, 26)",4282
248,2191,hyperx,45.105958673088985,1,eigenvector,"(0, 1)",4282
249,2191,hyperx,7.1085665292863345,1,eigenvector,"(25, 26)",4282
250,2191,hyperx,60.84764931887566,1,eigenvector,"(0, 2)",4282
251,2191,hyperx,159.11642143868636,1,eigenvector,"(24, 26)",4282
252,2191,hyperx,45.105958673088985,2,eigenvector,"(0, 1)",4282
253,2191,hyperx,15.085921835885655,2,eigenvector,"(25, 26)",4282
254,2191,hyperx,60.84764931887566,2,eigenvector,"(0, 2)",4282
255,2191,hyperx,298.8122868517627,2,eigenvector,"(24, 26)",4282
256,2115,hyperx,18.854544996725153,10,degree,"(0, 1)",8612
257,2115,hyperx,4.59191384467341,10,degree,"(25, 26)",8612
258,2115,hyperx,43.79913170694949,10,degree,"(0, 2)",8612
259,2115,hyperx,116.13736006717954,10,degree,"(24, 26)",8612
260,2115,hyperx,17.90378417930453,10,eigenvector,"(0, 1)",8612
261,2115,hyperx,18.609895098952325,10,eigenvector,"(25, 26)",8612
262,2115,hyperx,43.74119546490974,10,eigenvector,"(0, 2)",8612
263,2115,hyperx,533.4918407035221,10,eigenvector,"(24, 26)",8612
264,2115,hyperx,17.90378417930453,1,eigenvector,"(0, 1)",8612
265,2115,hyperx,4.218237219167702,1,eigenvector,"(25, 26)",8612
266,2115,hyperx,28.173490745217926,1,eigenvector,"(0, 2)",8612
267,2115,hyperx,89.33739776486524,1,eigenvector,"(24, 26)",8612
268,2115,hyperx,17.90378417930453,2,eigenvector,"(0, 1)",8612
269,2115,hyperx,6.612075534024714,2,eigenvector,"(25, 26)",8612
270,2115,hyperx,28.173490745217926,2,eigenvector,"(0, 2)",8612
271,2115,hyperx,203.90727891429185,2,eigenvector,"(24, 26)",8612
272,797,hyperx,43.8674744726367,10,degree,"(0, 1)",7658
273,797,hyperx,4.045474970097612,10,degree,"(25, 26)",7658
274,797,hyperx,65.08047568553192,10,degree,"(0, 2)",7658
275,797,hyperx,81.06054268001637,10,degree,"(24, 26)",7658
276,797,hyperx,53.91143843361908,10,eigenvector,"(0, 1)",7658
277,797,hyperx,13.03865137176329,10,eigenvector,"(25, 26)",7658
278,797,hyperx,62.31045206054743,10,eigenvector,"(0, 2)",7658
279,797,hyperx,227.46840395020303,10,eigenvector,"(24, 26)",7658
280,797,hyperx,53.91143843361908,1,eigenvector,"(0, 1)",7658
281,797,hyperx,3.8174688760597824,1,eigenvector,"(25, 26)",7658
282,797,hyperx,58.347663219866156,1,eigenvector,"(0, 2)",7658
283,797,hyperx,99.60075745014619,1,eigenvector,"(24, 26)",7658
284,797,hyperx,53.91143843361908,2,eigenvector,"(0, 1)",7658
285,797,hyperx,5.140815031206499,2,eigenvector,"(25, 26)",7658
286,797,hyperx,58.347663219866156,2,eigenvector,"(0, 2)",7658
287,797,hyperx,141.91780244269913,2,eigenvector,"(24, 26)",7658
288,183,hyperx,54.84917013697749,10,degree,"(0, 1)",6531
289,183,hyperx,1.8196700608233458,10,degree,"(25, 26)",6531
290,183,hyperx,104.47909752174407,10,degree,"(0, 2)",6531
291,183,hyperx,88.39389216958575,10,degree,"(24, 26)",6531
292,183,hyperx,68.89230553856908,10,eigenvector,"(0, 1)",6531
293,183,hyperx,7.705775625899849,10,eigenvector,"(25, 26)",6531
294,183,hyperx,100.76142181158478,10,eigenvector,"(0, 2)",6531
295,183,hyperx,202.30589904710067,10,eigenvector,"(24, 26)",6531
296,183,hyperx,68.89230553856908,1,eigenvector,"(0, 1)",6531
297,183,hyperx,2.6501772722386687,1,eigenvector,"(25, 26)",6531
298,183,hyperx,65.35677310964644,1,eigenvector,"(0, 2)",6531
299,183,hyperx,64.72350926091208,1,eigenvector,"(24, 26)",6531
300,183,hyperx,68.89230553856908,2,eigenvector,"(0, 1)",6531
301,183,hyperx,4.256760751197678,2,eigenvector,"(25, 26)",6531
302,183,hyperx,65.35677310964644,2,eigenvector,"(0, 2)",6531
303,183,hyperx,108.28807070642355,2,eigenvector,"(24, 26)",6531
304,183,hyperx,43.898131906466126,10,degree,"(0, 1)",5410
305,183,hyperx,2.711083660472515,10,degree,"(25, 26)",5410
306,183,hyperx,98.21604875980589,10,degree,"(0, 2)",5410
307,183,hyperx,102.59470591656792,10,degree,"(24, 26)",5410
308,183,hyperx,47.37311972593322,10,eigenvector,"(0, 1)",5410
309,183,hyperx,13.672402486198767,10,eigenvector,"(25, 26)",5410
310,183,hyperx,99.67775189120962,10,eigenvector,"(0, 2)",5410
311,183,hyperx,298.6539951264735,10,eigenvector,"(24, 26)",5410
312,183,hyperx,47.37311972593322,1,eigenvector,"(0, 1)",5410
313,183,hyperx,3.509776131300683,1,eigenvector,"(25, 26)",5410
314,183,hyperx,63.919363547937294,1,eigenvector,"(0, 2)",5410
315,183,hyperx,79.80413362724241,1,eigenvector,"(24, 26)",5410
316,183,hyperx,47.37311972593322,2,eigenvector,"(0, 1)",5410
317,183,hyperx,6.28587730229473,2,eigenvector,"(25, 26)",5410
318,183,hyperx,63.919363547937294,2,eigenvector,"(0, 2)",5410
319,183,hyperx,153.0418663245981,2,eigenvector,"(24, 26)",5410
320,1535,hyperx,20.13696157702686,10,degree,"(0, 1)",9881
321,1535,hyperx,5.691447488018147,10,degree,"(25, 26)",9881
322,1535,hyperx,46.82514321082608,10,degree,"(0, 2)",9881
323,1535,hyperx,96.70497070232877,10,degree,"(24, 26)",9881
324,1535,hyperx,22.942550716613155,10,eigenvector,"(0, 1)",9881
325,1535,hyperx,20.65122798491011,10,eigenvector,"(25, 26)",9881
326,1535,hyperx,50.42667069722378,10,eigenvector,"(0, 2)",9881
327,1535,hyperx,497.85497239836207,10,eigenvector,"(24, 26)",9881
328,1535,hyperx,22.942550716613155,1,eigenvector,"(0, 1)",9881
329,1535,hyperx,4.687357913614889,1,eigenvector,"(25, 26)",9881
330,1535,hyperx,34.00825605675956,1,eigenvector,"(0, 2)",9881
331,1535,hyperx,91.14098022313387,1,eigenvector,"(24, 26)",9881
332,1535,hyperx,22.942550716613155,2,eigenvector,"(0, 1)",9881
333,1535,hyperx,7.654987866841608,2,eigenvector,"(25, 26)",9881
334,1535,hyperx,34.00825605675956,2,eigenvector,"(0, 2)",9881
335,1535,hyperx,174.87566712420113,2,eigenvector,"(24, 26)",9881
336,306,hyperx,48.713977120042095,10,degree,"(0, 1)",3596
337,306,hyperx,3.7631278630819236,10,degree,"(25, 26)",3596
338,306,hyperx,97.64083883946014,10,degree,"(0, 2)",3596
339,306,hyperx,89.19936818912672,10,degree,"(24, 26)",3596
340,306,hyperx,37.26687905362876,10,eigenvector,"(0, 1)",3596
341,306,hyperx,18.76131811476354,10,eigenvector,"(25, 26)",3596
342,306,hyperx,112.43190815408677,10,eigenvector,"(0, 2)",3596
